segment_1|Hello everyone, welcome to Yoga with Adriene. I'm Adriene. We have|Hello everyone, welcome to Yoga with Adriene. I'm Adriene. We have
segment_2|practice in this series. I'm so grateful you're here.|practice in this series. I'm so grateful you're here.
segment_3|Let's begin in a nice, comfortable seated position of your choice.|Let's begin in a nice, comfortable seated position of your choice.
segment_4|Let's begin to ground into this session here together right away.|Let's begin to ground into this session here together right away.
segment_5|By sitting up nice and tall, inviting the eyes.|By sitting up nice and tall, inviting the eyes.
segment_6|Really lean into this felt sense of the moment, whether that's|Really lean into this felt sense of the moment, whether that's
segment_7|But building on that, really beginning to get a sense of|But building on that, really beginning to get a sense of
segment_8|time and space to really return to.|time and space to really return to.
segment_9|what's going on versus miss it altogether or ignore it.|what's going on versus miss it altogether or ignore it.
segment_10|Then we'll draw the palms together as you continue to gently deepen the breath.|Then we'll draw the palms together as you continue to gently deepen the breath.
segment_11|And then on your next inhale, let's send the fingertips down and out, left to right, and then all the way up.|And then on your next inhale, let's send the fingertips down and out, left to right, and then all the way up.
segment_12|As you exhale, bring the palms down through center and back through your heart space. Keep it going. Inhale, reach it up.|As you exhale, bring the palms down through center and back through your heart space. Keep it going. Inhale, reach it up.
segment_13|Exhale, grounding down, palms melt to heart.|Exhale, grounding down, palms melt to heart.
segment_14|Exhale, palms all the way down. Beautiful. We're going to twist gently to the left.|Exhale, palms all the way down. Beautiful. We're going to twist gently to the left.
segment_15|Hoo, hoo, hoo, lovely. Now come back to center.|Hoo, hoo, hoo, lovely. Now come back to center.
segment_16|Right away, bring the knees wide, big toes to touch.|Right away, bring the knees wide, big toes to touch.
segment_17|the sound of the breath. So let the sound of the breath be your anchor, whether you tap into that ujjayi, ocean sound,|the sound of the breath. So let the sound of the breath be your anchor, whether you tap into that ujjayi, ocean sound,
segment_18|We'll ground through the fingertips, ground through the tops of the feet.|We'll ground through the fingertips, ground through the tops of the feet.
segment_19|We'll shift the heart space towards the left side of the mat as you slowly carve a line with the nose forward. Come all the way forward on the inhale.|We'll shift the heart space towards the left side of the mat as you slowly carve a line with the nose forward. Come all the way forward on the inhale.
segment_20|Then send the heart, the rib cage to the right side of the mat as you circle back through your extended child's pose.|Then send the heart, the rib cage to the right side of the mat as you circle back through your extended child's pose.
segment_21|And then reversing the circle, moving in the opposite direction, moving at your own pace.|And then reversing the circle, moving in the opposite direction, moving at your own pace.
segment_22|Your heart is forward, walk the knees underneath the hip points.|Your heart is forward, walk the knees underneath the hip points.
segment_23|ground through your hands, curl the toes under, and let's peel the tailbone high up towards the sky.|ground through your hands, curl the toes under, and let's peel the tailbone high up towards the sky.
segment_24|You can bend both knees here and melt your belly towards the tops of your thighs.|You can bend both knees here and melt your belly towards the tops of your thighs.
segment_25|Tuck the chin slightly, hug your low ribs in slightly to engage your core.|Tuck the chin slightly, hug your low ribs in slightly to engage your core.
segment_26|Then inhale in deeply here. As you exhale, we're just gonna tick-tock the hips a little left to right.|Then inhale in deeply here. As you exhale, we're just gonna tick-tock the hips a little left to right.
segment_27|Then inhale in again, come back to center. As you exhale, let's send the gaze forward and make your way to the top of the mat. So however you wanna get there.|Then inhale in again, come back to center. As you exhale, let's send the gaze forward and make your way to the top of the mat. So however you wanna get there.
segment_28|Feet hip width apart or flush together, your choice, toes pointing forward.|Feet hip width apart or flush together, your choice, toes pointing forward.
segment_29|slightly bent, your choice. Listen to your body.|slightly bent, your choice. Listen to your body.
segment_30|And then if you can, if you can't reach, don't worry about it. You can just visualize it. But if you can.|And then if you can, if you can't reach, don't worry about it. You can just visualize it. But if you can.
segment_31|Just give it a touch and if you can't reach it, do not worry one bit.|Just give it a touch and if you can't reach it, do not worry one bit.
segment_32|ball joint of your pinky toe. You can touch it or just visualize and your|ball joint of your pinky toe. You can touch it or just visualize and your
segment_33|And then back to corners of the heels. Maybe you touch.|And then back to corners of the heels. Maybe you touch.
segment_34|visualize. Okay. In fact, you can point back to.|visualize. Okay. In fact, you can point back to.
segment_35|Stay rooted. Use the power of your imagination here to sense a real grounding through all four corners of the feet as you lift your toes.|Stay rooted. Use the power of your imagination here to sense a real grounding through all four corners of the feet as you lift your toes.
segment_36|And lift your toes again. Stay grounded through all four corners of the feet. So for some people, you may not...|And lift your toes again. Stay grounded through all four corners of the feet. So for some people, you may not...
segment_37|feel like you have to reinforce the outer edge others you'll have to reinforce the inner|feel like you have to reinforce the outer edge others you'll have to reinforce the inner
segment_38|Release the toes, and one more time, lift the toes.|Release the toes, and one more time, lift the toes.
segment_39|now drawing energy up from the arches maybe you touch the arches maybe it's just a point|now drawing energy up from the arches maybe you touch the arches maybe it's just a point
segment_40|drawing energy up from the arches, and then keep that energy traveling all the way up.|drawing energy up from the arches, and then keep that energy traveling all the way up.
segment_41|the inseam of the leg as you relax into your Forward Fold for one more breath.|the inseam of the leg as you relax into your Forward Fold for one more breath.
segment_42|And then grounding again through all four corners of the feet, bend your knees and we're gonna begin to slowly roll up like a rag doll.|And then grounding again through all four corners of the feet, bend your knees and we're gonna begin to slowly roll up like a rag doll.
segment_43|Come up into your mountain pose with the heart lifted.|Come up into your mountain pose with the heart lifted.
segment_44|If you feel comfortable, soften your gaze or close your eyes here. And once again, just bring your awareness down too.|If you feel comfortable, soften your gaze or close your eyes here. And once again, just bring your awareness down too.
segment_45|Notice what it would feel like if you were to without moving your feet try to|Notice what it would feel like if you were to without moving your feet try to
segment_46|Tear your yoga mat over the ground beneath you.|Tear your yoga mat over the ground beneath you.
segment_47|into two pieces right down the middle so you should feel|into two pieces right down the middle so you should feel
segment_48|Once again, let's inhale, reach the arms up and overhead.|Once again, let's inhale, reach the arms up and overhead.
segment_49|Stay standing as you exhale, palms down through the center line.|Stay standing as you exhale, palms down through the center line.
segment_50|Stay grounded, energized through the legs as you inhale, reach up.|Stay grounded, energized through the legs as you inhale, reach up.
segment_51|On the exhale, palms come down through center.|On the exhale, palms come down through center.
segment_52|this time let's take this one into a diamond just for fun bring the diamond all the way down|this time let's take this one into a diamond just for fun bring the diamond all the way down
segment_53|Shout out to Sean. Exhale, diamond down.|Shout out to Sean. Exhale, diamond down.
segment_54|Okay, so fingertips are going to go behind us now like airplane arms. They're going to open up through the chest.|Okay, so fingertips are going to go behind us now like airplane arms. They're going to open up through the chest.
segment_55|Lift up through the armpit chest ground through your heels ground through the|Lift up through the armpit chest ground through your heels ground through the
segment_56|ball joint of the big toe, ball joint of the pinky toe,|ball joint of the big toe, ball joint of the pinky toe,
segment_57|Then inhale in here, exhale, send the hips back, fingertips forward.|Then inhale in here, exhale, send the hips back, fingertips forward.
segment_58|if the shoulders feel tight here you have some tension in the neck just widen your arms imagine you're holding a big beach ball|if the shoulders feel tight here you have some tension in the neck just widen your arms imagine you're holding a big beach ball
segment_59|down so your palms are facing in towards each other. Sink a little bit lower here and engage your core.|down so your palms are facing in towards each other. Sink a little bit lower here and engage your core.
segment_60|Then we'll stand up, send the fingertips back, airplane arms, open up through the chest. Maybe you take your gaze up just a bit. Inhale.|Then we'll stand up, send the fingertips back, airplane arms, open up through the chest. Maybe you take your gaze up just a bit. Inhale.
segment_61|Engage through the feet, ground through the feet, tear the ground.|Engage through the feet, ground through the feet, tear the ground.
segment_62|Keep it going with your breath. See if you can stay grounded in the feet.|Keep it going with your breath. See if you can stay grounded in the feet.
segment_63|And really mindful of the energy in the legs the whole time.|And really mindful of the energy in the legs the whole time.
segment_64|Inhale to rise, straighten the legs, arms go back.|Inhale to rise, straighten the legs, arms go back.
segment_65|Exhale, let's soften through the knees and come through to a forward fold, nice and slow.|Exhale, let's soften through the knees and come through to a forward fold, nice and slow.
segment_66|Moving easy, inhale, halfway lift your version.|Moving easy, inhale, halfway lift your version.
segment_67|Plant the palms, step one foot back, then the other. You can lower the knees here for a half plank or come into a plank by pressing the palms.|Plant the palms, step one foot back, then the other. You can lower the knees here for a half plank or come into a plank by pressing the palms.
segment_68|Whatever variation you're choosing, it's awesome. Let's find the breath, find that extension through the crown of the head.|Whatever variation you're choosing, it's awesome. Let's find the breath, find that extension through the crown of the head.
segment_69|That full body awareness here as you breathe in slowly.|That full body awareness here as you breathe in slowly.
segment_70|Bring the hands in line with the rib cage. Inhale to lift up low cobra.|Bring the hands in line with the rib cage. Inhale to lift up low cobra.
segment_71|Press to Downward Facing Dog or all fours.|Press to Downward Facing Dog or all fours.
segment_72|And a long exhale out through the mouth.|And a long exhale out through the mouth.
segment_73|Good, just like that again. Inhale in here and Downward Dog are all fours.|Good, just like that again. Inhale in here and Downward Dog are all fours.
segment_74|And exhale, sigh it out.|And exhale, sigh it out.
segment_75|Nice. Let's step the right foot into a low lunge.|Nice. Let's step the right foot into a low lunge.
segment_76|Then inhale, get even lighter on the fingertips to look forward.|Then inhale, get even lighter on the fingertips to look forward.
segment_77|as you flex your right toes towards your face.|as you flex your right toes towards your face.
segment_78|And exhale, send the hips back.|And exhale, send the hips back.
segment_79|Inhale, look forward, always peek at me if you need to, if you need a little demo.|Inhale, look forward, always peek at me if you need to, if you need a little demo.
segment_80|Keep the back knee low as we inhale, reach the fingertips up high. Big, big lift up through the front body.|Keep the back knee low as we inhale, reach the fingertips up high. Big, big lift up through the front body.
segment_81|From here, you're gonna lift the back knee, step to Downward Facing Dog or all fours.|From here, you're gonna lift the back knee, step to Downward Facing Dog or all fours.
segment_82|And once again, inhaling in through the nose.|And once again, inhaling in through the nose.
segment_83|And exhaling with an AH sound.|And exhaling with an AH sound.
segment_84|Then we inhale to look forward, heart radiates forward.|Then we inhale to look forward, heart radiates forward.
segment_85|Hold the hip creases back. Flex your left toes towards your face.|Hold the hip creases back. Flex your left toes towards your face.
segment_86|With your breath rolling through that left foot, inhale, come forward.|With your breath rolling through that left foot, inhale, come forward.
segment_87|Nice, inhale, come forward, back knee stays lowered. Let's sweep the arms up, want a big breath in.|Nice, inhale, come forward, back knee stays lowered. Let's sweep the arms up, want a big breath in.
segment_88|Ground through the lower body, exhale, release it down.|Ground through the lower body, exhale, release it down.
segment_89|Lift the back knee, step the right foot up to meet the front, forward fold.|Lift the back knee, step the right foot up to meet the front, forward fold.
segment_90|Benji is snoring, it's hilarious. Inhale, halfway lift.|Benji is snoring, it's hilarious. Inhale, halfway lift.
segment_91|As you exhale slowly, mindfully with awareness, we'll bring the hands back down.|As you exhale slowly, mindfully with awareness, we'll bring the hands back down.
segment_92|in front of the heart center and pause here to notice|in front of the heart center and pause here to notice
segment_93|Keep your left foot where it is. We're gonna step the right foot back and prepare for, whoa, Virabhadrasana II, so Warrior II.|Keep your left foot where it is. We're gonna step the right foot back and prepare for, whoa, Virabhadrasana II, so Warrior II.
segment_94|Take a second to find two railroad tracks here.|Take a second to find two railroad tracks here.
segment_95|Then let's send the fingertips out long. So find your stance, Virabhadrasana II, and then find your focus way out.|Then let's send the fingertips out long. So find your stance, Virabhadrasana II, and then find your focus way out.
segment_96|Navels drawing in and up and really today so focused on grounding through all four corners of the feet|Navels drawing in and up and really today so focused on grounding through all four corners of the feet
segment_97|So feel your lower body ground, feel your upper body lift and lengthen.|So feel your lower body ground, feel your upper body lift and lengthen.
segment_98|over to the front as if you're holding a big ball of energy|over to the front as if you're holding a big ball of energy
segment_99|and you're just gonna bend that front knee and send that big ball of energy. This is kind of like Simba over the cliff. We're coming all the way back to|and you're just gonna bend that front knee and send that big ball of energy. This is kind of like Simba over the cliff. We're coming all the way back to
segment_100|I'm really grounding through the back edge of my right foot.|I'm really grounding through the back edge of my right foot.
segment_101|my legs are super engaged and then I'm just going to lift the arms all the way up as I straighten through the front leg.|my legs are super engaged and then I'm just going to lift the arms all the way up as I straighten through the front leg.
segment_102|Now the invitation here is to stay grounded through your back foot the whole time.|Now the invitation here is to stay grounded through your back foot the whole time.
segment_103|Beautiful, then let's send the fingertips, excuse me, right fingertips all the way.|Beautiful, then let's send the fingertips, excuse me, right fingertips all the way.
segment_104|Then check it out, we're going to slowly, you can take as many steps as you want, we're going to come all the way up.|Then check it out, we're going to slowly, you can take as many steps as you want, we're going to come all the way up.
segment_105|to a standing one-legged tadasana grounding through|to a standing one-legged tadasana grounding through
segment_106|Step the left foot back and just find a moment to find.|Step the left foot back and just find a moment to find.
segment_107|Here on the second side, Vibhadrasana II, front knees bent.|Here on the second side, Vibhadrasana II, front knees bent.
segment_108|The inside out versus the outside in, how does it feel?|The inside out versus the outside in, how does it feel?
segment_109|Then let's take the left fingertips over to the right. Back heel stays down on this round.|Then let's take the left fingertips over to the right. Back heel stays down on this round.
segment_110|ball of energy or the simba over the cliff all the way up straight into the front leg|ball of energy or the simba over the cliff all the way up straight into the front leg
segment_111|seeing if you can keep the outer edge of that back foot grounded.|seeing if you can keep the outer edge of that back foot grounded.
segment_112|And then let's bring it back to warrior two arms.|And then let's bring it back to warrior two arms.
segment_113|reaching energy out beyond the fingertips maybe send your gaze forward once again|reaching energy out beyond the fingertips maybe send your gaze forward once again
segment_114|And then left fingertips are going to come all the way up and forward, reaching the arms forward as you pivot.|And then left fingertips are going to come all the way up and forward, reaching the arms forward as you pivot.
segment_115|Exhale, you can step one foot, you can go right into the balancing pose or feel free to take as many steps as you need.|Exhale, you can step one foot, you can go right into the balancing pose or feel free to take as many steps as you need.
segment_116|grounding into all four corners of that right foot. Let's reach up a little higher wherever you are in the arms. Reach, reach, reach.|grounding into all four corners of that right foot. Let's reach up a little higher wherever you are in the arms. Reach, reach, reach.
segment_117|Palms come together as we bend the knees and come all the way back down into the fold.|Palms come together as we bend the knees and come all the way back down into the fold.
segment_118|And exhale to soften and bow back in.|And exhale to soften and bow back in.
segment_119|Ragdoll arms or clasping opposite elbow with opposite hand.|Ragdoll arms or clasping opposite elbow with opposite hand.
segment_120|And then slow and steady, release the arms. Let's walk the feet.|And then slow and steady, release the arms. Let's walk the feet.
segment_121|wider than the hips and turn the toes out to spill off your mat.|wider than the hips and turn the toes out to spill off your mat.
segment_122|You might grab a block or two here as we are going to come into a yogic squat or a variation.|You might grab a block or two here as we are going to come into a yogic squat or a variation.
segment_123|Elbows will bend left to right and we'll find an opening in the heart space here.|Elbows will bend left to right and we'll find an opening in the heart space here.
segment_124|And then wherever you are, let's release it. We'll all come together.|And then wherever you are, let's release it. We'll all come together.
segment_125|in a seat. Take a moment here in a seat just to windshield wiper.|in a seat. Take a moment here in a seat just to windshield wiper.
segment_126|Keep your left foot grounded on the earth. And when you're ready, let's kick slowly the right foot all the way up to the sky.|Keep your left foot grounded on the earth. And when you're ready, let's kick slowly the right foot all the way up to the sky.
segment_127|So this knee can be bent. It does not have to.|So this knee can be bent. It does not have to.
segment_128|Then, if it's available, we'll interlace the fingertips behind the back of the thigh. If not, we can always use...|Then, if it's available, we'll interlace the fingertips behind the back of the thigh. If not, we can always use...
segment_129|stay where you're at, or if it's available, maybe you climb.|stay where you're at, or if it's available, maybe you climb.
segment_130|towards the foot a little bit closer for one more breath.|towards the foot a little bit closer for one more breath.
segment_131|And then we'll release that and switch right foot grounds down.|And then we'll release that and switch right foot grounds down.
segment_132|Staying grounded through your right foot for stability here.|Staying grounded through your right foot for stability here.
segment_133|We'll interlace the fingertips behind that thigh, start to pull that leg gently in towards your body. Every body will be different.|We'll interlace the fingertips behind that thigh, start to pull that leg gently in towards your body. Every body will be different.
segment_134|Slowly windshield wiper the knees a little side to side.|Slowly windshield wiper the knees a little side to side.
segment_135|Back in line with the hips, knees bent, feet on the ground.|Back in line with the hips, knees bent, feet on the ground.
segment_136|Inhale, let's peel the tailbone up, slow and steady.|Inhale, let's peel the tailbone up, slow and steady.
segment_137|Relax the shoulders, slowly lifting the hip points as you...|Relax the shoulders, slowly lifting the hip points as you...
segment_138|When you get to the top, take a deep breath in.|When you get to the top, take a deep breath in.
segment_139|And then use your exhale to slowly soften through the sternum.|And then use your exhale to slowly soften through the sternum.
segment_140|Staying grounded through all four corners of the feet.|Staying grounded through all four corners of the feet.
segment_141|And softening on the exhale. Do one more just with the sound of your breath. You can close your eyes if it feels good.|And softening on the exhale. Do one more just with the sound of your breath. You can close your eyes if it feels good.
segment_142|And after that last one, we'll extend the legs out long.|And after that last one, we'll extend the legs out long.
segment_143|to a place that feels good. So it could be resting gently by your side or resting gently somewhere on your body.|to a place that feels good. So it could be resting gently by your side or resting gently somewhere on your body.
segment_144|Let's take the deepest breath we've taken all session, all day.|Let's take the deepest breath we've taken all session, all day.
segment_145|in together. Here we go. Inhale, lots of love in. Breathe in, breathe in, breathe in, breathe in.|in together. Here we go. Inhale, lots of love in. Breathe in, breathe in, breathe in, breathe in.
segment_146|and exhale slow and steady longest breath ever lots of love out releasing the weight of your body|and exhale slow and steady longest breath ever lots of love out releasing the weight of your body
segment_147|Great work today, my darling friends. Thank you so much for joining me, for sharing your valuable time and energy.|Great work today, my darling friends. Thank you so much for joining me, for sharing your valuable time and energy.
segment_148|all the other beings practicing with us.|all the other beings practicing with us.
segment_149|a beautiful rest of the day or evening, depending on where you are.|a beautiful rest of the day or evening, depending on where you are.
segment_150|As you're ready you can bring some gentle easy movement back to the body.|As you're ready you can bring some gentle easy movement back to the body.
segment_151|We'll bring the palms together and the thumbs to third eye to close this session.|We'll bring the palms together and the thumbs to third eye to close this session.
segment_152|Hello, everyone. Welcome back. Thank you for returning to|Hello, everyone. Welcome back. Thank you for returning to
segment_153|this session, this series to yourself.|this session, this series to yourself.
segment_154|The opportunity to practice together, I'm very honored.|The opportunity to practice together, I'm very honored.
segment_155|But really think of it more like a centering session, which is how I think of core work.|But really think of it more like a centering session, which is how I think of core work.
segment_156|Make a choice in which you can sit up nice and tall.|Make a choice in which you can sit up nice and tall.
segment_157|Stick with this video. You're here. You're almost through this series.|Stick with this video. You're here. You're almost through this series.
segment_158|And, you know, there really is a bit of discipline involved, a bit of tapas that allows|And, you know, there really is a bit of discipline involved, a bit of tapas that allows
segment_159|us the opportunity to get out of our patterns|us the opportunity to get out of our patterns
segment_160|to bring a lightness and a spaciousness to our bodies and to our mental health space.|to bring a lightness and a spaciousness to our bodies and to our mental health space.
segment_161|And allow your breath to nourish you right away, inhaling in deeply, lots of love in.|And allow your breath to nourish you right away, inhaling in deeply, lots of love in.
segment_162|Let's bring both hands to the heart here as you continue to inhale, breathe.|Let's bring both hands to the heart here as you continue to inhale, breathe.
segment_163|Lots of love in and lots of love out. And just keep that going a couple moments here.|Lots of love in and lots of love out. And just keep that going a couple moments here.
